	Price	City	Year	Mileage	Engine Size	Make	Model	Title	Neighborhood	Link
88	2000	newyork	N/A	N/A	N/A	suzuki	intruder 800	1993 SUZUKI VS 800 INTRUDER	GREENPOINT	https://newyork.craigslist.org/brk/mcy/d/brooklyn-1993-suzuki-vs-800-intruder/7073299585.html
232	2000	newjersey	2016	0	250	hyosung	aquila	"2016 Aquila GV-250 ""Brand New & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newjersey.craigslist.org/mcd/d/monticello-2016-aquila-gv-250-brand-new/7068809192.html
42	2000	newyork	2016	0	250	hyosung	gv250	2016 Aquila GV-250 In stock,NO DEALER FEES, WARRANTY	FLYKITTY MOTORSPORTS.COM	https://newyork.craigslist.org/mnh/mcd/d/monticello-2016-aquila-gv-250-in/7078865478.html
209	2000	newjersey	N/A	N/A	N/A	Triumph		70 triumph tiger	N/A	https://newjersey.craigslist.org/mcy/d/sussex-70-triumph-tiger/7073545475.html
245	2000	newjersey	1972	10000	450	honda	cb450	1972 Honda cb450 cafe racer (OBO)	N/A	https://newjersey.craigslist.org/mcy/d/1972-honda-cb450-cafe-racer-obo/7066208413.html
133	2000	newyork	N/A	N/A	250	Kawasaki	Kx 250	1990 Kawasaki Kx 250	Brooklyn/Long Island	https://newyork.craigslist.org/brk/mcy/d/brooklyn-1990-kawasaki-kx-250/7069193166.html
134	2000	newyork	2007	14000	150	vespa	lx150	07 Vespa lx	Brooklyn	https://newyork.craigslist.org/brk/mcy/d/brooklyn-07-vespa-lx/7069023559.html
237	2000	newjersey	1998	12963	750	honda	magna vf750c	1998 Honda Magna VF 750 13000 miles $2000 OBO	Parsippany NJ	https://newjersey.craigslist.org/mcy/d/parsippany-1998-honda-magna-vf-miles/7068503556.html
57	2000	newyork	2000	17000	800	Suzuki	intruder	Suzuki intruder 800cc	Cliffwood beach	https://newyork.craigslist.org/jsy/mcy/d/keyport-suzuki-intruder-800cc/7078184724.html
161	2000	newyork	2016	0	250	hyosung	gv250	"2016 Aquila GV-250 ""Brand New & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newyork.craigslist.org/mnh/mcd/d/monticello-2016-aquila-gv-250-brand-new/7063977895.html
31	2100	newyork	2008	14328	500	suzuki	gs500f	2008 Suzuki GS500F	Queens	https://newyork.craigslist.org/que/mcy/d/forest-hills-2008-suzuki-gs500f/7079972920.html
195	2100	newjersey	1970	N/A	N/A	xs650	yamaha	1969 cb350 cb450 cl77 cd175 xs650 cl450 cb160 gt250 cl360 cb750 cl350	wilm de. cb175 cb77 cl160 a7 cl175 cb125 w1 650 cb550 cb200	https://newjersey.craigslist.org/mcy/d/1969-cb350-cb450-cl77-cd175-xs650-cl450/7077556778.html
35	2100	newyork	1969	37310	700	Moto	Guzzi Ambassador v700	Moto guzzi 1969 v700 ambassador	Red Hook	https://newyork.craigslist.org/brk/mcy/d/brooklyn-moto-guzzi-1969-v700-ambassador/7079778321.html
178	2150	newjersey	N/A	N/A	N/A	harley	davidson	1975 AMF SS175	WEST MILFORD	https://newjersey.craigslist.org/mcy/d/newfoundland-1975-amf-ss175/7080185353.html
39	2195	newyork	N/A	1	N/A	hyosung	gt250r	2016 Hyosung GT 250R	Staten Island	https://newyork.craigslist.org/stn/mcd/d/staten-island-2016-hyosung-gt-250r/7079260114.html
233	2200	newjersey	2016	0	250	Hyosung	GT-250R	"2016 Hyosung GT 250R "" BRAND NEW & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newjersey.craigslist.org/mcd/d/monticello-2016-hyosung-gt-250r-brand/7068807459.html
119	2200	newyork	N/A	N/A	N/A	Honda		1989 Honda Hawk GT NT650	Kent, CT	https://newyork.craigslist.org/mnh/mcy/d/south-kent-1989-honda-hawk-gt-nt650/7069883173.html
221	2200	newjersey	1974	18000	360	honda	cb360	1974 Honda CB360	Easton, PA	https://newjersey.craigslist.org/mcy/d/easton-1974-honda-cb360/7071046712.html
188	2200	newjersey	2016	0	250	Hyosung	GT-250R	"2016 Hyosung GT 250R "" BRAND NEW & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newjersey.craigslist.org/mcd/d/monticello-2016-hyosung-gt-250r-brand/7078898480.html
162	2200	newyork	2016	0	250	hyosung	gt250r	"2016 GT250R ""Brand New & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newyork.craigslist.org/mnh/mcd/d/monticello-2016-gt250r-brand-new-in/7063976067.html
25	2200	newyork	1981	7850	750	honda	cb750	1981 Honda CB 750	Navy Yard	https://newyork.craigslist.org/brk/mcy/d/brooklyn-1981-honda-cb-750/7080506899.html
41	2200	newyork	2016	0	250	hyosung	gt250r	"NEW GT-250R 2016 ""IN STOCK, NO DEALER FEES, WARRANTY!"""	FLYKITTY MOTORSPORTS.COM	https://newyork.craigslist.org/mnh/mcd/d/monticello-new-gt-250r-2016-in-stock-no/7078871183.html
82	2295	newyork	2020	N/A	230	SG250		2020 CSC SG250 SAN GABRIEL MOTORCYCLE	Union Square	https://newyork.craigslist.org/mnh/mcd/d/valyermo-2020-csc-sg250-san-gabriel/7074451700.html
123	2295	newyork	2020	000	230	CSC	SG250	2020 CSC SG250 SAN GABRIEL CAFE RACER	Union Square	https://newyork.craigslist.org/mnh/mcd/d/valyermo-2020-csc-sg250-san-gabriel/7069778552.html
50	2299	newyork	2018	0	110	KAWASAKI	KLX 110L	2018 KAWASAKI KLX 110 L AVAILABLE FOR FINANCING !! $0 DOWN !	457 CONEY ISLAND AVENUE	https://newyork.craigslist.org/brk/mcd/d/brooklyn-2018-kawasaki-klx-110/7078559455.html
241	2299	newjersey	2020	N/A	250	Kawasaki	KX250 KLX140G	2020 Kawasaki® KLX® and KX™ Dirtbikes  ***ZERO DOWN and $29 a month***	Toms River	https://newjersey.craigslist.org/mcd/d/2020-kawasaki-klx-and-kx-dirtbikes-zero/7067103953.html
59	2299	newyork	2020	N/A	250	Kawasaki	KX250 KX450 KLX140G	2020 Kawasaki® KLX® and KX™ Dirtbikes ***ZERO DOWN and $29 a month***	Toms River	https://newyork.craigslist.org/jsy/mcd/d/island-heights-2020-kawasaki-klx-and-kx/7077613994.html
108	2299	newyork	2020	N/A	250	Kawasaki	KX250 KX450 KLX140G	2020 Kawasaki® KLX® and KX™ Dirtbikes ***ZERO DOWN and $29 a month***	Toms River	https://newyork.craigslist.org/jsy/mcd/d/island-heights-2020-kawasaki-klx-and-kx/7070819051.html
223	2299	newjersey	2020	N/A	250	Kawasaki	KX250 KLX140G	2020 Kawasaki® KLX® and KX™ Dirtbikes  ***ZERO DOWN and $29 a month***	Toms River	https://newjersey.craigslist.org/mcd/d/2020-kawasaki-klx-and-kx-dirtbikes-zero/7070819747.html
49	2299	newyork	2018	0	110	KAWASAKI	KLX 110L	2019 KAWASAKI KLX 110 L AVAILABLE FOR FINANCING !! $0 DOWN !	457 CONEY ISLAND AVENUE	https://newyork.craigslist.org/brk/mcd/d/brooklyn-2019-kawasaki-klx-110/7078559785.html
194	2299	newjersey	2020	N/A	250	Kawasaki	KX250 KLX140G	2020 Kawasaki® KLX® and KX™ Dirtbikes  ***ZERO DOWN and $29 a month***	Toms River	https://newjersey.craigslist.org/mcd/d/2020-kawasaki-klx-and-kx-dirtbikes-zero/7077612603.html
147	2299	newyork	2020	N/A	250	Kawasaki	KX250 KX450 KLX140G	2020 Kawasaki® KLX® and KX™ Dirtbikes ***ZERO DOWN and $29 a month***	Toms River	https://newyork.craigslist.org/jsy/mcd/d/island-heights-2020-kawasaki-klx-and-kx/7067105023.html
231	2299	newjersey	2019	N/A	600	Kawasaki	Yamaha Ninja 400 KX250	Get APPROVED RIGHT NOW on a Kawasaki or Yamaha!!!!!!! **ZERO DOWN**	Toms River	https://newjersey.craigslist.org/mcd/d/get-approved-right-now-on-kawasaki-or/7069507692.html
186	2299	newjersey	2019	N/A	600	Kawasaki	Yamaha Ninja 400 KX250	Get APPROVED RIGHT NOW on a Kawasaki or Yamaha!!!!!!! **ZERO DOWN**	Toms River	https://newjersey.craigslist.org/mcd/d/get-approved-right-now-on-kawasaki-or/7078961859.html
211	2299	newjersey	2019	N/A	600	Kawasaki	Yamaha Ninja 400 KX250	Get APPROVED RIGHT NOW on a Kawasaki or Yamaha!!!!!!! **ZERO DOWN**	Toms River	https://newjersey.craigslist.org/mcd/d/get-approved-right-now-on-kawasaki-or/7073287320.html
244	2299	newjersey	2019	N/A	600	Kawasaki	Yamaha Ninja 400 KX250	Get APPROVED RIGHT NOW on a Kawasaki or Yamaha!!!!!!! **ZERO DOWN**	Toms River	https://newjersey.craigslist.org/mcd/d/get-approved-right-now-on-kawasaki-or/7066462727.html
130	2300	newyork	2003	20000	600	Yamaha	r6	2003 yamaha r6	N/A	https://newyork.craigslist.org/stn/mcy/d/staten-island-2003-yamaha-r6/7069378845.html
109	2300	newyork	2009	N/A	250	yamaha	yz250f	Titled NYS Yamaha 250f 2009	Flushing	https://newyork.craigslist.org/que/mcy/d/flushing-titled-nys-yamaha-250f-2009/7070814691.html
135	2300	newyork	2013	15050	150	honda	pcx150	2013 PCX 150 SCOOTER	Upper East Side	https://newyork.craigslist.org/mnh/mcy/d/new-york-2013-pcx-150-scooter/7068713433.html
157	2300	newyork	2001	116000	1100	Honda	Blackbird	2001 Honda CBR 1100	Nassau County	https://newyork.craigslist.org/lgi/mcy/d/bellmore-2001-honda-cbr-1100/7065344796.html
171	2300	newjersey	2018	500	N/A	Apollo	250	2018 Apollo 250 Sportsman	West New York NJ	https://newjersey.craigslist.org/mcy/d/west-new-york-2018-apollo-250-sportsman/7081019887.html
70	2300	newyork	1997	3700	N/A	Yamaha	Virago 535 cc/97	Selling Yamaha Virago 535 cc/97	Brooklyn	https://newyork.craigslist.org/brk/mcy/d/brooklyn-selling-yamaha-virago-535-cc-97/7076443899.html
136	2399	newyork	2019	5	N/A	Nanrobot		Electric scooter ls7 nanrobot	Queens ny	https://newyork.craigslist.org/que/mcy/d/elmhurst-electric-scooter-ls7-nanrobot/7068698206.html
20	2400	newyork	N/A	N/A	150	honda	crf150r	Honda CRF150r	N/A	https://newyork.craigslist.org/wch/mcy/d/putnam-valley-honda-crf150r/7080803458.html
76	2400	newyork	2007	3400	200	suzuki	dr200se	2007 Suzuki DR200	Bushwick	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2007-suzuki-dr200/7075750517.html
126	2450	newyork	2014	600	250	honda	rebel 250	2014 Honda rebel 250	Brooklyn	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2014-honda-rebel-250/7069625213.html
92	2495	newyork	2017	0	N/A	Yamaha	YZ	2017 Yamaha YZ 85	Motorsports Nation Plainfield	https://newyork.craigslist.org/lgi/mcd/d/plainfield-2017-yamaha-yz-85/7072773237.html
33	2495	newyork	2002	34000	998	yamaha	fz1	2002 YAMAHA FZ1- FAST FAST FAST	Brooklyn NYC	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2002-yamaha-fz1-fast-fast-fast/7079800130.html
213	2499	newjersey	2013	8300	300	kawasaki	ninja 300 abs	2013 Kawasaki Ninja 300 with ABS, 8,300 mls	Clifton	https://newjersey.craigslist.org/mcy/d/clifton-2013-kawasaki-ninja-300-with/7072605377.html
117	2499	newyork	2014	10	300	kawasaki	ninja 300	2014 KAWASAKI NINJA	Brooklyn	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2014-kawasaki-ninja/7070177886.html
184	2499	newjersey	2020	N/A	110	Kawasaki	KLX110L	2020 Kawasaki® KLX®110L  ***Zero down $31 a month***	Toms River	https://newjersey.craigslist.org/mcd/d/island-heights-2020-kawasaki-klx110l/7079561156.html
175	2500	newjersey	2005	N/A	N/A	Honda	CRF 450X	2005 Honda CRF 450X	N/A	https://newjersey.craigslist.org/mcy/d/mahwah-2005-honda-crf-450x/7080501152.html
165	2500	newjersey	N/A	7850	750	honda	shadow	2001 Honda Shadow Spirit VT750	N/A	https://newjersey.craigslist.org/mcy/d/landing-2001-honda-shadow-spirit-vt750/7082448727.html
206	2500	newjersey	2003	N/A	N/A	yamaha	xvs1100	2003 Yamaha V Star 1100cc	Fort Lee	https://newjersey.craigslist.org/mcy/d/fort-lee-2003-yamaha-star-1100cc/7074135093.html
168	2500	newjersey	1984	63365	1100	84’Honda	VF1100S Saber	84’ Honda VF1100S Saber	Bayville	https://newjersey.craigslist.org/mcy/d/ocean-gate-84-honda-vf1100s-saber/7081502638.html
198	2500	newjersey	2008	N/A	250	kawasaki	kx250	2008 Kawasaki Kx 250 dirt bike	07840	https://newjersey.craigslist.org/mcy/d/hackettstown-2008-kawasaki-kx-250-dirt/7076536090.html
32	2500	newyork	2005	14500	620	ducati	monster	2005 Ducati Monster 620	Fort Green	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2005-ducati-monster-620/7079936317.html
73	2500	newyork	2009	N/A	N/A	yamaha	yz450f	Yz450f	Selden	https://newyork.craigslist.org/lgi/mcy/d/selden-yz450f/7076032658.html
228	2500	newjersey	2002	3144	650	yamaha	vstar 650	2002 Yamaha V Star 650	POMPTON PLAINS	https://newjersey.craigslist.org/mcy/d/pompton-plains-2002-yamaha-star-650/7069615956.html
21	2500	newyork	N/A	N/A	250	Piaggio	MP3 250i	2008 Piaggio MP3 250i	N/A	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2008-piaggio-mp3-250i/7080754630.html
201	2500	newjersey	1999	19000	600	honda	cbr600f4	1999 Honda CBR600F4	Bloomfield	https://newjersey.craigslist.org/mcy/d/bloomfield-1999-honda-cbr600f4/7075590725.html
60	2500	newyork	2002	8800	1100	Honda	Shadow saber 1100	2002 HONDA SHADOW SABRE 1100	Mahopac	https://newyork.craigslist.org/wch/mcy/d/croton-falls-2002-honda-shadow-sabre/7077548981.html
270	2600	newjersey	2014	N/A	150	KTM	150SX	2014 KTM 150SX	Pemberton	https://cnj.craigslist.org/mcy/d/browns-mills-2014-ktm-150sx/7081373242.html
129	2600	newyork	N/A	N/A	N/A	suzuki	boulevard	800cc Suziki Boulevard	Bronx	https://newyork.craigslist.org/brx/mcy/d/bronx-800cc-suziki-boulevard/7069502012.html
112	2600	newyork	N/A	N/A	N/A	honda	goldwing	1976 Honda Gold Wing	bronx	https://newyork.craigslist.org/wch/mcy/d/bronx-1976-honda-gold-wing/7070536226.html
204	2600	newjersey	2007	N/A	N/A	suzuki		2007 Suzuki motorcycle bobber	North Haledon	https://newjersey.craigslist.org/mcy/d/haledon-2007-suzuki-motorcycle-bobber/7074613316.html
53	2699	newyork	2019	N/A	N/A	KAWASAKI	Z-125	2019 KAWASAKI Z-125 PRO	Brookyln	https://newyork.craigslist.org/brk/mcd/d/brooklyn-2019-kawasaki-125-pro/7078557689.html
10	2700	newyork	2015	N/A	N/A	2015	kx 100	KX 100	N/A	https://newyork.craigslist.org/lgi/mcy/d/sag-harbor-kx-100/7081837593.html
219	2700	newjersey	N/A	N/A	N/A	kawasaki	vulcan 900	Kawasaki, Cruiser , Motorcycle	N/A	https://newjersey.craigslist.org/mcy/d/blairstown-kawasaki-cruiser-motorcycle/7071688594.html
90	2700	newyork	2019	1500	155	yamaha	smax	2019 Yamaha Smax *MINT*	Bronx	https://newyork.craigslist.org/brx/mcy/d/bronx-2019-yamaha-smax-mint/7073181592.html
264	2700	newjersey	2015	N/A	N/A	2015	kx 100	KX 100	N/A	https://newyork.craigslist.org/lgi/mcy/d/sag-harbor-kx-100/7081837593.html
276	2750	newjersey	2009	N/A	N/A	Suzuki	TU250x	2009 Suzuki TU250x - Low Miles	Poughkeepsie	https://hudsonvalley.craigslist.org/mcy/d/poughkeepsie-2009-suzuki-tu250x-low/7081823732.html
234	2800	newjersey	2017	0	250	hyosung	gd250r	"2017 Hyosung GD-250R "" BRAND NEW & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newjersey.craigslist.org/mcd/d/monticello-2017-hyosung-gd-250r-brand/7068806793.html
189	2800	newjersey	2017	0	250	hyosung	gd250r	"2017 Hyosung GD-250R "" BRAND NEW & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newjersey.craigslist.org/mcd/d/monticello-2017-hyosung-gd-250r-brand/7078897692.html
153	2800	newyork	ktm	123456	N/A	85	sx	2015 KTM 85cc	Queens Village	https://newyork.craigslist.org/lgi/mcy/d/queens-village-2015-ktm-85cc/7065669453.html
163	2800	newyork	2017	0	250	hyosung	gd250r	"2017 Hyosung GD-250R  ""BRAND NEW & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newyork.craigslist.org/mnh/mcd/d/monticello-2017-hyosung-gd-250r-brand/7063973896.html
40	2800	newyork	2017	0	250	hyosung	gd250r	"2017 Hyosung GD-250R  ""BRAND NEW & IN STOCK"""	FLYKITTY MOTORSPORTS.COM	https://newyork.craigslist.org/mnh/mcd/d/monticello-2017-hyosung-gd-250r-brand/7078871836.html
72	2800	newyork	2004	34000	N/A	harley	davidson sportster	04 Harley Davidson 883/Trades	Maspeth queens	https://newyork.craigslist.org/que/mcy/d/maspeth-04-harley-davidson-883-trades/7076321222.html
67	2800	newyork	1977	41000	750	Suzuki	GS750	1977 Suzuki GS750	N/A	https://newyork.craigslist.org/que/mcy/d/flushing-1977-suzuki-gs750/7077030896.html
151	2800	newyork	N/A	N/A	N/A	yamaha		Yamaha XS1100	Mahopac ny	https://newyork.craigslist.org/wch/mcy/d/mahopac-yamaha-xs1100/7066288415.html
173	2850	newjersey	2008	16000	800	Suzuki	Boulevard C50	Suzuki Boulevard 2008	N/A	https://newjersey.craigslist.org/mcy/d/lincoln-park-suzuki-boulevard-2008/7080689919.html
252	2900	newjersey	ktm	N/A	N/A	65	sx	Ktm65sx	N/A	https://newjersey.craigslist.org/mcy/d/newton-ktm65sx/7064299135.html
164	2900	newjersey	2015	N/A	N/A	honda	cbr300r abs	2015 Honda CBR300R ABS 1900mi only	East Rutherford	https://newjersey.craigslist.org/mcy/d/rutherford-2015-honda-cbr300r-abs/7082483857.html
196	2900	newjersey	N/A	N/A	N/A	Suzuki	RMX250	1989 Suzuki RMX 250 2stroke	N/A	https://newjersey.craigslist.org/mcy/d/newark-1989-suzuki-rmx-250-2stroke/7076691909.html
104	2900	newyork	2008	2430	500	Aprilia	Scarabeo 500	2008 Aprilia Scarabeo 500 Low mileage Like new	Sheepshead Bay	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2008-aprilia-scarabeo-500-low/7071444440.html
113	2900	newyork	1971	N/A	N/A	HONDA	CB	1971 HONDA CB 500	bronx	https://newyork.craigslist.org/wch/mcy/d/bronx-1971-honda-cb-500/7070535212.html
236	2950	newjersey	2015	984	650	boulevard		2015 Suzuki S40 Boulervard 650	FLYKITTY MOTORSPORTS.COM	https://newjersey.craigslist.org/mcd/d/monticello-2015-suzuki-s40-boulervard/7068802110.html
114	2995	newyork	1973	N/A	N/A	HONDA	CB	1973 HONDA CB 350	bronx	https://newyork.craigslist.org/wch/mcy/d/bronx-1973-honda-cb-350/7070532561.html
66	2998	newyork	2018	0	N/A	KTM	SX	2018 KTM 65 SX *SALE!*	Motorsports Nation Plainfield	https://newyork.craigslist.org/lgi/mcd/d/plainfield-2018-ktm-65-sx-sale/7077102204.html
80	2999	newyork	N/A	13062	N/A	suzuki	intruder 800	2002 Suzuki Intruder 800	Wilkins Motorsports	https://newyork.craigslist.org/wch/mcd/d/brewster-2002-suzuki-intruder-800/7074726542.html
91	2999	newyork	2013	910	650	kawasaki	ninja 650	2013 Kawasaki Ninja 650	New York	https://newyork.craigslist.org/fct/mcy/d/long-island-city-2013-kawasaki-ninja-650/7073090993.html
247	2999	newjersey	N/A	N/A	N/A	Kawasaki	Z650	2019 Kawasaki® Z™ LINEUP ***Zero down $41 a month***	Toms River	https://newjersey.craigslist.org/mcd/d/island-heights-2019-kawasaki-lineup/7065178881.html
193	2999	newjersey	N/A	N/A	N/A	Kawasaki	Z650	2019 Kawasaki® Z™ LINEUP ***Zero down $41 a month***	Toms River	https://newjersey.craigslist.org/mcd/d/island-heights-2019-kawasaki-lineup/7077628525.html
185	3000	newjersey	N/A	N/A	N/A	kawasaki	ninja	2013 Kawasaki Ninja 300	N/A	https://newjersey.craigslist.org/mcy/d/nutley-2013-kawasaki-ninja-300/7079315552.html
218	3000	newjersey	2006	3500	650	suzuki	boulevard s40	2006 Suzuki Boulevard S40 - ONLY 3500 MILES!!	Pine Brook	https://newjersey.craigslist.org/mcy/d/pine-brook-2006-suzuki-boulevard-s40/7071895083.html
216	3000	newjersey	1995	27000	1100	suzuki	gsxr	GSXR	north jersey	https://newjersey.craigslist.org/mcy/d/west-milford-gsxr/7072092362.html
239	3000	newjersey	N/A	N/A	N/A	kawasaki	ninja 300	2013 Kawasaki Ninja 300	N/A	https://newjersey.craigslist.org/mcy/d/nutley-2013-kawasaki-ninja-300/7068034122.html
251	3000	newjersey	2003	26600	1200	suzuki	bandit 1200	2003 Suzuki Bandit	Parsippany	https://newjersey.craigslist.org/mcy/d/parsippany-2003-suzuki-bandit/7064911032.html
191	3000	newjersey	1999	6600	1200	harley	davidson sportster 1200	1999 Harley Davidson Sportster 1200	Lincoln Park	https://newjersey.craigslist.org/mcy/d/lincoln-park-1999-harley-davidson/7077860021.html
224	3000	newjersey	2001	5200	929	honda	cbr 929rr	929rr	N/A	https://newjersey.craigslist.org/mcy/d/lodi-929rr/7070611006.html
283	3000	newjersey	2006	4295	650	YAMAHAVSTAR650		YAMAHA VSTAR 650	EAST STROUDSBURG,PA	https://poconos.craigslist.org/mcy/d/bartonsville-yamaha-vstar-650/7081623653.html
45	3000	newyork	N/A	N/A	N/A	kawasaki	ninja 300	NINJA 300 **very well maintained**	Holbrook	https://newyork.craigslist.org/lgi/mcy/d/holbrook-ninja-300-very-well-maintained/7078670512.html
156	3000	newyork	1980	25375	750	honda	cb750k	Honda CB 750K 1980 - $3000 - 25375 miles	Woodside	https://newyork.craigslist.org/que/mcy/d/sunnyside-honda-cb-750k-miles/7065432664.html
23	3000	newyork	2019	275	100	CSC	Cityslicker	2019 CSC City Slicker Electric Motorcycle $1?	Corona	https://newyork.craigslist.org/que/mcy/d/corona-2019-csc-city-slicker-electric/7080647910.html
63	3000	newyork	1994	N/A	N/A	Honda	ct70	1994 ct70	Little Neck	https://newyork.craigslist.org/lgi/mcy/d/little-neck-1994-ct70/7077274157.html
81	3000	newyork	2005	N/A	650	suzuki	v-strom 650	2005 Suzuki V-strom 650	Bensonhurst	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2005-suzuki-strom-650/7074474423.html
83	3000	newyork	2005	12300	800	suzuki	boulevard	2005 Suzuki M50 Boulevard	Queens	https://newyork.craigslist.org/brk/mcy/d/far-rockaway-2005-suzuki-m50-boulevard/7074278915.html
19	3000	newyork	2008	18000	600	kawasaki	ninja zx-6r	08 zx6r	Belle rose, queens, ny	https://newyork.craigslist.org/que/mcy/d/glen-oaks-08-zx6r/7080954941.html
97	3000	newyork	2014	N/A	N/A	honda	crf450r	2014 Crf450	N/A	https://newyork.craigslist.org/jsy/mcy/d/northvale-2014-crf450/7072320479.html
127	3000	newyork	2018	1000	135	benelli	tnt 135	2018 Benneli  TNT 135	Jamaica New York	https://newyork.craigslist.org/que/mcy/d/jamaica-2018-benneli-tnt-135/7069523418.html
140	3000	newyork	2019	350	150	honda	pcx 150	2019 Honda PCX 150	Staten Island	https://newyork.craigslist.org/stn/mcy/d/staten-island-2019-honda-pcx-150/7068499057.html
101	3000	newyork	2015	7406	N/A	Honda		2015 Honda 150cc	Bronx	https://newyork.craigslist.org/brx/mcy/d/bronx-2015-honda-150cc/7071842242.html
122	3100	newyork	2017	N/A	N/A	kawasaki		Kawasaki Kx85 Kx 85 2017 Pro Circuit	montauk	https://newyork.craigslist.org/lgi/mcy/d/montauk-kawasaki-kx85-kx-pro-circuit/7069825126.html
250	3200	newjersey	1986	5263	N/A	1986	Sportster	HARLEY Davidson	Passaic County	https://newjersey.craigslist.org/mcy/d/hawthorne-harley-davidson/7064972226.html
94	3200	newyork	2007	N/A	650	2007	suzuki 650 SV s	2007 Suzuki 650SV s	BROOKLYN	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2007-suzuki-650sv/7072738003.html
268	3200	newjersey	2009	N/A	250	yamaha	yz250f	2009 YZ 250F	Malvern	https://cnj.craigslist.org/mcy/d/malvern-2009-yz-250f/7082300358.html
282	3200	newjersey	2003	2100	883	Harley	Sportster	2003 Harley-Davidson SPORTSTER 883	Oyster Bay	https://longisland.craigslist.org/mcy/d/oyster-bay-2003-harley-davidson/7081236276.html
183	3200	newjersey	1977	N/A	650	kawasaki	kz650	1977 Kawasaki KZ 650	Montville	https://newjersey.craigslist.org/mcy/d/towaco-1977-kawasaki-kz-650/7079645159.html
225	3200	newjersey	N/A	N/A	750	honda	cb 750	Old school Chopper Honda CB 750 Bobber	Montvale	https://newjersey.craigslist.org/mcy/d/montvale-old-school-chopper-honda-cb/7070595407.html
266	3250	newjersey	2013	N/A	500	honda	cbr500r	Honda 14 CBR650F, 13 CBR500R, 17 CMX Rebel 500 & 300 2017  and more	Ozone Park	https://newyork.craigslist.org/que/mcy/d/ozone-park-honda-14-cbr650f-13-cbr500r/7081315039.html
46	3250	newyork	2001	N/A	1100	bmw	r1100r	BMW R1100RL	Harlem / Morningside	https://newyork.craigslist.org/mnh/mcy/d/new-york-bmw-r1100rl/7078568620.html
12	3250	newyork	2013	N/A	500	honda	cbr500r	Honda 14 CBR650F, 13 CBR500R, 17 CMX Rebel 500 & 300 2017  and more	Ozone Park	https://newyork.craigslist.org/que/mcy/d/ozone-park-honda-14-cbr650f-13-cbr500r/7081315039.html
214	3300	newjersey	1996	20	800	kawasaki	vulcan	1996 Kawasaki Vulcan 800 Bobber	Jersey City	https://newjersey.craigslist.org/mcy/d/jersey-city-1996-kawasaki-vulcan-800/7072142414.html
278	3300	newjersey	N/A	N/A	N/A	honda	cbr600rr	2003 Honda cbr 600rr	Poughkeepsie	https://hudsonvalley.craigslist.org/mcy/d/poughkeepsie-2003-honda-cbr-600rr/7081782238.html
230	3300	newjersey	2004	N/A	N/A	2004	Suzuki vz800	2004 Suzuki vz800 maurader	Franklin lakes	https://newjersey.craigslist.org/mcy/d/franklin-lakes-2004-suzuki-vz800/7069531569.html
139	3400	newyork	2016	5800	300	kawasaki	ninja 300	2016 Kawasaki Ninja 300 with 5800 miles, one owner, great bike.	AUTOFORWARDINC.COM	https://newyork.craigslist.org/brk/mcd/d/brooklyn-2016-kawasaki-ninja-300-with/7068682718.html
11	3400	newyork	2017	3100	300	yamaha	yzf-r3	2017 Yamaha R3 3k miles & 2015 Yamaha bolt XVS 950	Ozone park	https://newyork.craigslist.org/que/mcy/d/ozone-park-2017-yamaha-r3-3k-miles/7081317363.html
265	3400	newjersey	2017	3100	300	yamaha	yzf-r3	2017 Yamaha R3 3k miles & 2015 Yamaha bolt XVS 950	Ozone park	https://newyork.craigslist.org/que/mcy/d/ozone-park-2017-yamaha-r3-3k-miles/7081317363.html
148	3400	newyork	N/A	N/A	N/A	Yamaha	yfz450	2008 YAMAHA YFZ450	Lindenhurst	https://newyork.craigslist.org/lgi/mcy/d/lindenhurst-2008-yamaha-yfz450/7066597916.html
220	3400	newjersey	2007	2341	42	polaris	sportsman 450	Polaris sportsman 450	Rockaway nj	https://newjersey.craigslist.org/mcy/d/tranquility-polaris-sportsman-450/7071373081.html
240	3450	newjersey	2004	N/A	1300	honda	vtx1300	Honda VTX 1300	Berkeley Heights	https://newjersey.craigslist.org/mcy/d/berkeley-heights-honda-vtx-1300/7067409044.html
65	3450	newyork	1970	12000	750	honda	cb750	1969 HONDA FOUR CYLINDER 750 COLLECTABLE  RARE CAFE	staten island	https://newyork.craigslist.org/stn/mcy/d/staten-island-1969-honda-four-cylinder/7077209561.html
