	Price	City	Year	Mileage	Engine Size	Make	Model	Title	Neighborhood	Link
248	3900	newjersey	N/A	1300	N/A	kawasaki	ninja 300 abs se	Ninja 300 2016	N/A	https://newjersey.craigslist.org/mcy/d/wayne-ninja/7064995120.html
249	3900	newjersey	N/A	1300	N/A	kawasaki	ninja 300 abs se	Ninja Kawasaki 2016 300 abs	N/A	https://newjersey.craigslist.org/mcy/d/wayne-ninja-kawasaki-abs/7064993456.html
258	3950	newjersey	2012	9800	670	honda	nc700x	Honda NC700X + Extras	Maspeth, NY	https://newyork.craigslist.org/que/mcy/d/maspeth-honda-nc700x-extras/7082423007.html
43	3950	newyork	N/A	7392	N/A	harley	davidson 883 sportster	2007 Harley Davidson Sportster 883                      ***WE FINANCE	Wilkins Motorsports	https://newyork.craigslist.org/wch/mcd/d/brewster-2007-harley-davidson-sportster/7078740626.html
125	3950	newyork	2010	5000	900	kawasaki	vulcan 900 custom	2010 Kawasaki Vulcan custom 900	Brooklyn	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2010-kawasaki-vulcan-custom-900/7069627327.html
208	3950	newjersey	1961	1500	150	Lambretta	150	Lambretta Scooter 150	N/A	https://newjersey.craigslist.org/mcy/d/northvale-lambretta-scooter-150/7073735890.html
4	3950	newyork	2012	9800	670	honda	nc700x	Honda NC700X + Extras	Maspeth, NY	https://newyork.craigslist.org/que/mcy/d/maspeth-honda-nc700x-extras/7082423007.html
145	3950	newyork	1994	22000	650	ural	tourist	Ural Tourist	Tarrytown	https://newyork.craigslist.org/wch/mcy/d/tarrytown-ural-tourist/7067823051.html
205	3955	newjersey	2013	3566	645	suzuki	sv650	2013 Suzuki SFV650 Gladius	Wharton	https://newjersey.craigslist.org/mcy/d/wharton-2013-suzuki-sfv650-gladius/7074197541.html
29	3990	newyork	2009	3500	500	yamaha		Tmax 500 2009 Blue	New Jersey	https://newyork.craigslist.org/brx/mcy/d/new-york-tmax-blue/7080392588.html
28	3990	newyork	2009	3500	500	Yamaha	Tmax	Tmax	East Brunswick	https://newyork.craigslist.org/jsy/mcy/d/east-brunswick-tmax/7080430881.html
77	3999	newyork	2015	0	N/A	Honda	CRF	2015 Honda CRF 450R	Motorsports Nation Plainfield	https://newyork.craigslist.org/lgi/mcd/d/plainfield-2015-honda-crf-450r/7075470869.html
